Date,USGG2YR Index,USGG10YR Index,USGG30YR Index,VIX Index,MOVE Index,AAIIBULL Index,AAIIBEAR Index,SPX Index,SPX Index,.TED G Index,.BAA10YB Index,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPL,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,SRVPRD,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,ISRATIO,M1SL,M2SL,M2REAL,AMBSL,BUSLOANS,REALLN,WPSFD49207,WPSFD49502,WPSID61,WPSID62,MZMSL,DTCOLNVHFNM,DTCTHFNM,INVEST,ism_man_empl,ism_man_neworders,ism_man_pmi,ism_man_prices
6/1/2017,1.2898,2.2114,2.8626,9.89,53.9973,26.92,31.54,66.98,62.33,24.7479,126.8551,14586,12049.7,120.34,1257070,105.16,102.496,101.467,105.1,120.481,101.205,100.062,107.849,105.903,100.751,103.266,101.139,108.069,75.4153,160145,153168,4.4,24.7,2305,1933,2612,948,1664,146404,20007,664.2,6896,12396,7747,126397,5921.5,15845,8449,22353,41.3,4.3,41.9,1215,158,205,533,319,1.38,3497.6,13519.3,5545.5,3796.59,2103.46,4189.02,196.8,207.5,189.6,189.7,14908.6,339495,901478,3372.97,57.2,63.5,56.7,55
11/1/2016,0.8311,1.8274,2.5774,18.56,67.764,24.75,34.07,35.73,43.65,52.988,150.2646,14563.4,12051.5,118.169,1242750,103.859,101.774,100.559,103.371,120.888,98.7889,101.755,105.945,105.371,101.383,103.178,97.5863,110.21,74.8269,159486,152085,4.6,26.3,2421,2136,2933,1077,1856,145128,19646,633.1,6704,12260,7656,125482,5949.5,15976.8,8335,22245,41.2,4.4,41.8,1090,80,175,567,268,1.38,3353,13222.9,5456.2,3648.64,2101.14,4107.91,193.7,203.7,184.9,173.2,14598.2,343662,905196,3334.39,52.5,54.8,53.5,54.5
7/1/2016,0.5893,1.4441,2.2253,14.77,74.3476,28.91,33.42,55.5,54.11,39.9726,187.5864,14480,11967.6,117.449,1225270,104.914,102.585,101.589,104.399,120.323,100.245,103.537,107.334,106.24,100.953,103.63,108.299,110.011,75.3593,159287,151517,4.9,28.1,2160,2266,3170,1150,2020,144448,19639,632.1,6652,12305,7697,124809,5922,15960,8299,22176,41.4,4.3,42,1211,134,175,613,289,1.39,3242.8,12893.3,5375.4,3788.44,2064.14,4025.72,191.9,201.3,183.1,176.9,14333.9,335409,898539,3252.73,49.4,56.9,52.3,55
9/1/2016,0.7816,1.5681,2.2299,13.48,70.2452,28.6,31.52,50.01,55.08,51.0966,164.1948,14477.6,11966.8,117.37,1237440,104.226,102.136,101.056,104.272,121.499,99.768,101.935,106.317,105.277,100.865,103.094,106.438,110.019,74.8707,159907,151968,5,27.5,2574,2234,3131,1157,1974,144747,19612,632.3,6669,12262,7657,125135,5938.4,15997.6,8319,22181,41.1,4.2,41.7,1047,87,146,532,282,1.38,3317.9,13070.6,5423.4,3749.49,2076.68,4079.54,192.9,202.6,183.8,174.2,14505.7,345358,908667,3306.5,49.7,55.1,51.7,53
8/1/2016,0.6848,1.5214,2.2695,12.44,63.6696,31.25,28.41,62.74,59.43,50.5476,171.8562,14477.3,11962.7,117.281,1230580,104.402,102.073,101.048,104.124,119.717,100.057,102.473,106.824,105.401,100.695,102.952,108.737,109.529,74.8174,159463,151614,4.9,27.6,2290,2329,3062,1056,2006,144598,19600,629.6,6640,12281,7669,124998,5926.3,15968,8317,22213,41,4.3,41.8,1142,141,171,543,287,1.39,3314.1,13005.8,5412.2,3842.41,2057.64,4046.78,191.4,200.6,182.9,171.9,14466.4,340862,903721,3271.5,48.3,49.1,49.4,53
4/1/2016,0.7224,1.7705,2.5997,13.1,66.997,27.18,25.76,70.36,59.96,40.5314,201.9494,14380.9,11888.4,116.46,1239300,104.147,102.276,101.034,103.979,119.005,100.064,102.459,105.939,105.022,101.952,103.39,102.964,111.001,75.2945,158924,151004,5,27.7,2545,2131,3367,1304,2063,143915,19679,661.6,6670,12297,7710,124236,5928.5,15915.2,8249,22077,41.2,4.4,41.9,1172,134,187,616,235,1.4,3184.8,12652.2,5296.2,3912.37,2047.49,3950.62,190.2,199,179.5,170.6,14064.7,335154,895019,3165.49,49.2,55.8,50.7,59
6/1/2016,0.8988,1.8354,2.6164,14.2,68.7501,17.75,29.39,61.2,57.26,39.2133,182.4573,14356,11849.7,116.932,1223770,104.134,101.98,101.054,103.854,119.671,99.7271,102.864,106.314,105.207,100.98,103.162,103.989,110.277,75.0662,158880,151097,4.9,27.7,2418,2140,3108,1129,1979,144175,19631,641.2,6643,12296,7689,124544,5924.9,15952.4,8280,22119,41.1,4.2,41.7,1189,117,184,571,317,1.39,3242.4,12807.6,5338.1,3845.7,2056.93,3998.1,192.8,202.4,182.7,177.6,14248.2,335119,897803,3210.76,50.4,57,52.8,60.5
3/1/2016,0.8391,1.8249,2.6978,17.7,84.2161,31.19,31.42,60.26,52.6,30.6,245.5117,14314.9,11821.5,115.742,1236360,103.376,101.289,99.9967,102.857,117.837,98.9538,101.158,105.471,105.276,101.769,103.121,92.9726,112.196,75.1477,159286,151320,5,28.4,2412,2205,3391,1178,2213,143774,19683,668,6672,12291,7701,124091,5920.2,15942.1,8227,22082,40.9,4.3,41.7,1089,121,150,555,263,1.41,3145.4,12567.2,5282.1,3926.92,2023.14,3932.53,189.8,198.4,179,166.2,13974.1,335904,896561,3137.91,48.1,58.3,51.7,51.5
2/1/2016,0.7975,1.9486,2.7618,19.98,73.4583,29.75,39.96,49.2,46.18,31.8472,245.1448,14293.6,11802.3,115.545,1233760,106.328,104.82,103.933,106.411,123.497,102.211,105.484,107.892,106.935,104.276,106.376,94.6299,115.505,76.1041,158890,151074,4.9,29,2297,2236,3297,1132,2165,143560,19692,682,6631,12327,7735,123868,5911.7,15877.8,8212,22042,41.3,4.3,41.9,1178,73,181,615,309,1.41,3101.9,12472.6,5247,3909.06,2006.13,3913.26,189.4,197.9,179.3,162.2,13821.3,338455,896041,3127.41,48.5,51.5,49.7,38.5
1/1/2016,1.0477,2.2694,3.0158,18.21,67.8473,25.07,23.62,47.57,49.3,44.997,202.0596,14270.6,11793,115.64,1233260,106.848,104.927,104.009,106.741,122.25,102.931,104.683,108.962,107.545,104.299,106.227,99.8456,110.933,76.0713,158335,150544,4.9,28.9,2249,2282,3224,1135,2089,143288,19728,706.8,6615,12356,7751,123560,5911.2,15811.1,8210,22032,41.3,4.3,41.8,1099,156,136,560,247,1.4,3091.9,12418.3,5216.8,3779.88,1984.39,3887.87,190.6,199.6,180.6,165.6,13751.2,339756,900502,3121.86,45.9,51.5,48.2,33.5
12/1/2015,0.9067,2.1431,2.9019,14.67,70.9762,32.36,26.03,60.91,56.7,22.3851,193.6903,14260.3,11782.3,115.21,1229800,106.022,104.217,103.359,105.369,122.021,101.275,105.384,107.981,107.395,103.308,105.993,92.1121,110.659,75.9709,157833,149929,5,27.6,2405,2192,3320,1235,2085,143242,19651,730.2,6538,12331,7766,123591,5940.9,15771.3,8196,22001,41.3,4.1,41.7,1149,163,148,583,255,1.39,3076.3,12330,5184,3816.11,1977.03,3864.25,191.3,200.7,182.7,167.2,13747.1,340475,904679,3097.47,48,48.8,48,33.5
10/1/2015,0.6447,2.0368,2.8499,22.55,81.5384,28.11,39.92,43.61,43.16,34.9415,202.3242,14190.4,11737.5,114.683,1228420,107.212,105.264,104.973,107.071,121.426,103.549,107.102,109.357,107.626,103.535,106.301,103.54,112.162,76.3588,157028,149120,5,28,2326,2311,3360,1218,2142,142654,19554,750.6,6434,12317,7785,123100,5930.4,15749.7,8161,21988,41.4,4.3,41.8,1060,140,161,506,253,1.38,3035.5,12200.4,5125.3,4098.85,1929.03,3807.45,192.6,202.6,185.7,181.6,13634,343664,906420,3040.99,47.7,50.8,49.4,39
9/1/2015,0.704,2.1524,2.915,31.4,88.6754,32.5,38.27,34.13,37.53,29.8413,192.7564,14063.1,11618.2,114.736,1229880,107.092,104.875,104.722,106.467,119.817,103.193,107.341,109.602,107.276,102.44,105.544,105.665,112.072,75.8993,156715,148800,5.1,26.3,2363,2218,3318,1214,2104,142371,19523,757.2,6396,12318,7788,122848,5916.4,15724.1,8154,22029,40.8,4.1,41.6,1206,137,137,621,311,1.38,3051.4,12196.2,5133.8,4049.3,1912.91,3784.52,193.2,203.3,186.4,181.6,13591.9,343483,905059,3017.93,50.5,50.1,50.2,38
5/1/2015,0.595,2.1135,2.8273,12.7,78.8811,30.84,21.95,54.18,53.52,27.9739,143.6476,14039,11616,114.521,1208840,105.102,98.6669,100.874,98.9567,108.027,96.8769,109.257,113.247,116.323,91.0064,101.309,102.387,115.27,76.9723,157469,148795,5.5,30.7,2418,2532,3795,1293,2502,141679,19567,791.2,6387,12335,7807,122112,5905.4,15632.1,8111,21941,41.1,4.2,41.8,1036,139,149,495,253,1.36,2986.8,11937.1,5036.3,3958.61,1870.69,3713.66,195.2,206.3,189.2,199.7,13262.7,332599,885141,3026.74,51.7,55.8,52.8,49.5
4/1/2015,0.5355,1.8573,2.4651,15.11,85.6212,38.43,24.38,45.4,48.97,25.5541,148.2733,14000.8,11571.1,113.652,1219000,105.179,98.7748,101.012,99.0333,106.633,97.3431,108.676,113.286,115.458,91.9049,101.459,99.079,117.879,77.1901,157072,148523,5.4,30.8,2729,2307,3663,1139,2525,141367,19570,810.9,6383,12322,7800,121797,5903.6,15592.4,8093,21907,41.2,4.3,41.8,1135,184,170,503,278,1.36,2993.8,11894.9,5040.7,4088.79,1856.14,3704.63,192.4,202.5,187.4,193.3,13199.3,330285,882369,2995.03,48.3,53.5,51.5,40.5
7/1/2015,0.6882,2.4219,3.2015,16.09,90.2884,35.56,21.67,43.14,46.91,26.8349,150.8099,13985.2,11550.7,113.863,1210720,107.477,104.592,104.27,106.15,123.49,101.881,106.517,110.886,108.404,103.26,105.743,102.999,113.144,76.2086,157106,148840,5.3,28.3,2488,2257,3368,1188,2180,142071,19569,781.5,6383,12350,7790,122502,5918.8,15703.6,8140,21923,41.1,4.3,41.8,1206,161,179,589,277,1.36,3035.6,12059.1,5064.7,3989.3,1897.45,3759.49,196.8,208.4,190.3,196.1,13436.7,335643,892337,3018.69,52.7,56.5,52.7,44
6/1/2015,0.6447,2.1794,2.9338,13.97,83.5495,27,25.14,50.5,52.11,28.2489,152.0649,13940.7,11511,113.5,1208160,105.707,99.0082,101.213,99.1753,106.888,97.4551,110.061,114.173,116.401,91.9608,101.704,102.118,117.388,77.1695,157037,148739,5.3,28.1,2355,2364,3514,1393,2121,141842,19561,788.7,6380,12338,7806,122281,5904.8,15657.5,8127,21910,41.3,4.4,41.8,1174,206,145,571,252,1.37,3007.9,11982.4,5039.2,3950.9,1889.25,3741.38,197,208.8,190.6,202,13324.7,330587,884236,3028.56,55.5,56,53.5,49.5
1/1/2015,0.6645,2.1712,2.7518,19.2,68.9385,51.74,19.31,51.9,54.3,22.0111,141.8797,13909.9,11509.9,113.371,1210470,106.188,99.4056,101.726,98.567,105.064,97.1669,109.891,114.758,118.777,92.2381,102.147,97.5346,114.649,78.0542,157180,148201,5.7,32.3,2383,2318,4180,1380,2800,140849,19556,858.7,6314,12330,7807,121293,5885.2,15550.6,8077,21891,41.4,4.4,42.1,1065,111,140,528,286,1.35,2924,11700.3,4986,4019.74,1801.32,3640.23,192.8,203.4,190.8,202.7,12977.2,327761,880829,2954.06,54.1,52.9,53.5,35
12/1/2014,0.4961,2.235,2.9628,14.29,67.2825,52.15,20.79,61.69,59.38,22.4461,125.5017,13768,11399.9,113.048,1206100,106.511,99.7435,102.09,98.5343,105.8,96.9294,110.332,115.066,118.738,92.7386,102.498,93.4389,115.391,78.4262,156129,147442,5.6,32.8,2375,2293,4059,1274,2785,140347,19336,875.3,6166,12239,7757,121011,5907.5,15511.3,8022,21945,41.7,4.6,42.2,1089,126,163,508,292,1.33,2897.4,11632,4925.7,3898.46,1783.84,3626.75,197,209.4,196.2,223.8,12919.9,325760,880987,2929.42,56.8,57.3,55.1,38.5
9/1/2014,0.4882,2.3431,3.0792,11.98,60.4894,51.92,19.23,66.34,60.33,21.3321,88.692,13643.9,11290.6,111.339,1188300,105.073,98.3262,100.573,96.9953,103.186,95.6726,108.194,113.597,116.908,90.5226,100.478,99.4198,112.621,77.2977,155862,146600,5.9,31.5,2383,2508,4371,1416,2954,139435,19161,872.2,6079,12154,7696,120274,5879.7,15409.9,7985,21911,41.5,4.5,42.1,1017,120,176,491,230,1.3,2855.4,11474.1,4828.5,4071.96,1732.61,3612.19,201.4,215.9,203,245.9,12691.8,325526,870346,2856.63,54.6,60,56.1,59.5
8/1/2014,0.4723,2.4925,3.2807,17.03,52.2603,31.12,31.12,34.29,46.4,21.7821,83.7462,13623.9,11283.8,111.544,1184860,104.115,97.8038,100.187,96.6695,102.631,95.4085,108.16,112.106,116.185,90.0026,100.161,92.45,113.308,77.1938,155959,146368,6.1,31.7,2609,2449,4450,1486,2963,139118,19144,862.5,6068,12158,7694,119974,5884.9,15366.4,7963,21897,41.5,4.5,42,956,121,157,474,204,1.29,2816.6,11453.4,4823.9,4096.94,1748.34,3613.86,201.5,216.1,203.4,245.7,12667.3,323624,867764,2834.38,58.1,66.7,58.1,58
